CataloGroup,UnknownSamples,Order1,Order2,Order3,Order4
group1,annuum_test,annuum,annuum_test,chinense,NA
group1,chinense_test,annuum,chinense,chinense_test,NA
group1,frutescens_test,annuum,chinense,frutescens_test,NA
group1,dalle,annuum,dalle,chinense,NA
group2,annuum_test,annuum,annuum_test,frutescens,NA
group2,chinense_test,annuum,frutescens,chinense_test,NA
group2,frutescens_test,annuum,frutescens,frutescens_test,NA
group2,dalle,annuum,dalle,frutescens,NA
group3,annuum_test,annuum_test,chinense,frutescens,NA
group3,chinense_test,chinense,chinense_test,frutescens,NA
group3,frutescens_test,chinense,frutescens,frutescens_test,NA
group3,dalle,chinense,dalle,frutescens,NA
group4,annuum_test,annuum,annuum_test,chinense,frutescens
group4,chinense_test,annuum,chinense,chinense_test,frutescens
group4,frutescens_test,annuum,chinense,frutescens,frutescens_test
group4,dalle,annuum,dalle,chinense,frutescens
