CataloGroup,UnknownSamples,Order1,Order2,Order3,Order4,Color1,Color2,Color3
group1,annuum_test,annuum,annuum_test,chinense,NA,red,gold,NA
group1,chinense_test,annuum,chinense,chinense_test,NA,red,gold,NA
group1,frutescens_test,annuum,chinense,frutescens_test,NA,NA,NA,NA
group1,dalle,annuum,dalle,chinense,NA,red,gold,NA
group2,annuum_test,annuum,annuum_test,frutescens,NA,red,blue,NA
group2,chinense_test,annuum,frutescens,chinense_test,NA,NA,NA,NA
group2,frutescens_test,annuum,frutescens,frutescens_test,NA,red,blue,NA
group2,dalle,annuum,dalle,frutescens,NA,red,blue,NA
group3,annuum_test,annuum_test,chinense,frutescens,NA,NA,NA,NA
group3,chinense_test,chinense,chinense_test,frutescens,NA,gold,blue,NA
group3,frutescens_test,chinense,frutescens,frutescens_test,NA,gold,blue,NA
group3,dalle,chinense,dalle,frutescens,NA,gold,blue,NA
group4,annuum_test,annuum,annuum_test,chinense,frutescens,red,gold,blue
group4,chinense_test,annuum,chinense,chinense_test,frutescens,red,gold,blue
group4,frutescens_test,annuum,chinense,frutescens,frutescens_test,red,gold,blue
group4,dalle,annuum,dalle,chinense,frutescens,red,gold,blue
